2024-04-23 12:26:32,596 - DEBUG - Starting debug log
2024-04-23 12:26:33,788 - DEBUG - $$$$$$$$$$ PREPARATION STARTED $$$$$$$$$$
2024-04-23 12:26:34,054 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,054 - WARNING - <http://value.org/fact> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,345 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,345 - WARNING - <http://value.org/inference> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,347 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,347 - WARNING - <http://value.org/rule> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,350 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,357 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,357 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,358 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,377 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,382 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,382 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,383 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,396 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,402 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,402 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,402 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,416 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,421 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,421 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,421 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,429 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,434 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,434 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,434 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,449 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,454 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,454 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,454 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,459 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,464 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,464 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,464 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,479 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,484 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,484 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,484 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,503 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,510 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,510 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,510 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,522 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,527 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,527 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,527 - WARNING - <http://value.org/id> does not look like a valid URI, trying to serialize this will break.
2024-04-23 12:26:34,533 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
