2023-12-18 10:21:01,838 - DEBUG - Starting debug log
2023-12-18 10:21:01,963 - DEBUG - $$$$$$$$$$ PREPARING $$$$$$$$$$
2023-12-18 10:21:03,262 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,262 - WARNING - <http://value.org/fact> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,321 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,321 - WARNING - <http://value.org/inference> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,323 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,323 - WARNING - <http://value.org/rule> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,326 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,330 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,334 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,339 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,343 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,348 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,352 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,356 - WARNING - <http://value.org/type> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,356 - WARNING - <http://value.org/control> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,356 - WARNING - <http://value.org/priority> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,364 - WARNING - <http://value.org/left_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,369 - WARNING - <http://value.org/right_side> does not look like a valid URI, trying to serialize this will break.
2023-12-18 10:21:03,369 - WARNING - <http://value.org/child> does not look like a valid URI, trying to serialize this will break.
